Product url,Product name,Product price,Rating,Number of reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTE1MTIxMzU4NTU3ODg6MTY4NTAzNDg1MDpzcF9tdGY6MjAxMTY4ODIxODEwOTg6OjA6Og&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_59_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging,"1,999",4.4 out of 5 stars,73
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTE1MTIxMzU4NTU3ODg6MTY4NTAzNDg1MDpzcF9tdGY6MjAxMjQzMTEwMjQ4OTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_60_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685034850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",4.1 out of 5 stars,440
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BXQZ6Q85/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-61,ADISA Large Laptop Backpack Office Bag College Travel Back Pack with USB (Black),499,4.0 out of 5 stars,39
https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-62,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",499,3.9 out of 5 stars,"10,167"
https://www.amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-63,"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",700,4.2 out of 5 stars,755
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-64,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",918,3.8 out of 5 stars,806
https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-65,"Lenovo 15.6"" Casual Backpack B210",749,4.2 out of 5 stars,"26,983"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-66,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),599,3.8 out of 5 stars,141
https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-67,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,569,4.0 out of 5 stars,314
https://www.amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1685034850&sprefix=ba%2Caps%2C283&sr=8-68,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","1,199",4.3 out of 5 stars,680
